,Autoridad_Portuaria,Graneles Líquidos t,Graneles Sólidos t,Mercancía General t,Mercancia General Contenedores t,Mercancías En Tránsito t,Tráfico Ro-Ro t,TEUS Contenedores,Total_pasajeros,Anios,Mes,fecha,Total_buques,Total_automoviles,Total_toneladas
259,8,1081988,398438,3879036,2925871,1751477,972917,273587.0,464069,2022,10,2022-10-01,35124,92984,11009727
260,9,1933887,302893,744999,557355,9469,97460,43041.5,28255,2022,10,2022-10-01,3797,26619,3646063
261,10,2171461,701853,68488,45485,11,0,3254.25,26410,2022,10,2022-10-01,217,0,2987298
262,11,989077,527458,88968,80156,689,14462,5153.0,0,2022,10,2022-10-01,142,2,1700810
263,12,93536,0,47330,5978,0,46875,481.0,131559,2022,10,2022-10-01,3612,30344,193719
264,13,379158,416694,94445,58933,26943,1482,5016.0,2331,2022,10,2022-10-01,101,410,977655
265,14,150388,1539276,113410,52020,630507,0,3666.0,9390,2022,10,2022-10-01,129,0,2485601
266,15,1958125,749896,104008,51229,226436,45853,7114.75,6558,2022,10,2022-10-01,2676,4786,3135547
267,16,631559,18936,1416091,1001301,876354,406664,93038.0,219481,2022,10,2022-10-01,30273,85030,4350905
268,17,8587,114371,57874,18669,6350,42891,2312.5,84930,2022,10,2022-10-01,2437,12147,248742
269,18,0,118642,78354,57833,0,0,5124.75,0,2022,10,2022-10-01,27,1,254829
270,19,4526,0,35816,3328,0,35816,470.0,33297,2022,10,2022-10-01,2479,8226,79486
271,20,99723,42391,13508,0,9112,1952,0.0,4759,2022,10,2022-10-01,180,1322,166686
272,21,0,61879,208806,0,0,57856,0.0,533,2022,10,2022-10-01,401,23323,328541
273,22,331017,41907,628672,317949,56473,330874,44363.0,486556,2022,10,2022-10-01,25613,149173,1706892
274,23,12009,405020,246044,31458,7348,219737,2702.0,30261,2022,10,2022-10-01,5579,44652,921616
275,24,25306,159119,130680,89462,0,14723,12243.75,1587,2022,10,2022-10-01,875,454,419290
276,25,662337,1194351,148762,39047,326569,44339,4365.25,22884,2022,10,2022-10-01,1148,13149,2415405
277,26,527454,257972,5573809,4327025,2356762,1110913,393958.0,149207,2022,10,2022-10-01,40500,76288,14153935
278,27,7369,29330,395915,237100,27118,108693,19347.0,29945,2022,10,2022-10-01,1153,56187,805525
279,28,47338,42231,68041,25275,302,0,2865.75,1072,2022,10,2022-10-01,33,5,183187
280,1,658216,697064,45428,0,415776,0,0.0,14109,2022,11,2022-11-01,95,0,1816484
281,2,11406,157298,111654,98959,8,143,15641.75,23584,2022,11,2022-11-01,71,2851,379468
282,3,7105,206129,99006,21639,0,63022,1211.0,26961,2022,11,2022-11-01,3487,7150,396901
283,4,33974,189307,81732,0,0,169,0.0,0,2022,11,2022-11-01,55,0,305182
284,5,1784604,7555,5731923,4481969,4989964,1244205,384722.0,248891,2022,11,2022-11-01,42815,50251,18240220
285,6,42234,249660,162250,118422,64497,61685,16541.5,55502,2022,11,2022-11-01,2099,1953,698748
286,7,98646,25606,1009718,25403,788,1005838,7012.0,342674,2022,11,2022-11-01,50320,74809,2165999
287,8,1429878,417454,3370939,2441873,1845013,962450,229580.5,247702,2022,11,2022-11-01,34031,85683,10467607
288,9,1496971,344719,606037,383409,5062,81357,36028.25,5300,2022,11,2022-11-01,3260,9663,2917555
289,10,2456837,865540,48999,38738,0,0,3016.5,26436,2022,11,2022-11-01,190,5,3410114
290,11,717437,598350,97932,92095,228,12982,5607.0,0,2022,11,2022-11-01,118,2,1519024
291,12,26205,1400,45280,5681,0,44890,462.0,114869,2022,11,2022-11-01,3697,26283,123456
292,13,625545,499573,96231,53385,53063,2627,5700.0,79,2022,11,2022-11-01,107,410,1330424
293,14,21894,922348,88142,48035,273105,0,3830.0,0,2022,11,2022-11-01,79,0,1353524
294,15,2183046,571093,104699,46199,135016,57003,6559.5,5257,2022,11,2022-11-01,3082,4614,3097056
295,16,502135,42825,1426981,1005370,869702,425990,92779.0,315380,2022,11,2022-11-01,31881,68390,4273003
296,17,13068,52229,62185,23441,39,41291,1789.5,86431,2022,11,2022-11-01,2645,8083,192253
297,18,0,156047,56613,40031,22,0,3465.25,0,2022,11,2022-11-01,24,0,252713
298,19,4651,0,39392,3439,0,39392,511.0,27531,2022,11,2022-11-01,2866,6882,86874
299,20,82085,74268,13893,0,3001,2030,0.0,2830,2022,11,2022-11-01,172,938,175277
300,21,0,82595,176987,0,0,44661,0.0,0,2022,11,2022-11-01,298,17837,304243
301,22,331689,9905,658076,307181,46482,367311,39071.0,590799,2022,11,2022-11-01,28238,135008,1720644
302,23,10199,316501,208975,26767,3859,185655,2231.0,9734,2022,11,2022-11-01,4663,41596,751956
303,24,32331,157536,136242,92855,0,15359,13117.75,1273,2022,11,2022-11-01,841,335,434323
304,25,1262779,736293,141824,32954,196639,44291,3954.0,93,2022,11,2022-11-01,876,19136,2414780
305,26,504819,193122,4758094,3569446,1765268,1049417,332787.0,101990,2022,11,2022-11-01,38842,64064,11840166
306,27,4987,18591,371823,226006,24868,79148,22269.0,21463,2022,11,2022-11-01,856,39223,725423
307,28,5953,25494,63981,21459,0,7061,2617.75,0,2022,11,2022-11-01,28,2,123948
308,1,802841,726454,27810,0,470045,0,0.0,10397,2022,12,2022-12-01,97,0,2027150
309,2,0,140621,129941,101752,1076,5741,15214.0,14007,2022,12,2022-12-01,256,3418,379131
310,3,7824,384542,124091,19195,0,73937,1075.0,37988,2022,12,2022-12-01,3591,11153,609589
311,4,74694,193046,65231,0,0,0,0.0,0,2022,12,2022-12-01,58,0,332971
312,5,2216780,88569,5610460,4461674,5131866,1142932,372741.0,321572,2022,12,2022-12-01,39561,68686,18652281
313,6,136745,166995,169578,120520,147950,68794,16659.5,26140,2022,12,2022-12-01,2241,1778,810582
314,7,114581,35122,944945,21865,1313,932316,6321.0,344333,2022,12,2022-12-01,46269,73324,2050142
315,8,1738260,460189,3697756,2837101,2061474,847934,280190.25,198977,2022,12,2022-12-01,29034,112625,11642714
316,9,2125365,317634,640513,392512,7688,78084,38083.25,3790,2022,12,2022-12-01,3351,3820,3561796
317,10,2172412,688423,77806,34074,21,0,3362.75,5374,2022,12,2022-12-01,166,1,2972736
318,11,945407,397210,115564,108687,9633,17555,7474.0,0,2022,12,2022-12-01,121,4,1594056
319,12,78664,0,39951,5117,0,39446,410.0,151144,2022,12,2022-12-01,3277,36151,163178
320,13,280938,489178,71906,28716,91400,1507,2890.5,0,2022,12,2022-12-01,99,10,963645
321,14,51343,1821197,153132,55917,768425,0,3868.0,867,2022,12,2022-12-01,112,0,2850014
322,15,2221720,570079,119867,49915,220801,58635,6798.75,4685,2022,12,2022-12-01,3086,10599,3241017
323,16,608249,20477,1624529,1200467,1037584,402618,102015.0,363542,2022,12,2022-12-01,30152,90452,4893924
324,17,7680,128236,60555,20093,127,39705,1839.0,46429,2022,12,2022-12-01,2288,11326,256396
325,18,0,59049,71264,39693,29,0,3399.0,0,2022,12,2022-12-01,29,0,170035
326,19,6507,4135,36601,3516,0,36601,491.0,46326,2022,12,2022-12-01,2504,10377,87360
327,20,132905,19130,12685,88,0,11710,12.0,5004,2022,12,2022-12-01,464,1347,176518
328,21,0,102478,187956,0,917,41116,0.0,0,2022,12,2022-12-01,316,17053,332467
329,22,388302,41013,676094,355450,90339,334399,43867.0,601697,2022,12,2022-12-01,25822,147560,1885597
330,23,25106,300078,211553,26178,10551,193161,2137.0,7841,2022,12,2022-12-01,3976,70736,766627
331,24,51969,182749,127179,86066,0,14138,12514.5,696,2022,12,2022-12-01,806,291,462101
332,25,1543352,796007,128277,34074,279930,19018,4666.0,148,2022,12,2022-12-01,181,13915,2800658
333,26,449252,105512,5042300,3979226,2129238,912796,351427.0,58879,2022,12,2022-12-01,32334,75152,12618324
334,27,0,17530,340798,206317,13215,97691,18914.0,4932,2022,12,2022-12-01,1039,50271,675551
335,28,8804,38928,48614,20839,0,0,2239.75,0,2022,12,2022-12-01,26,69,117185
336,1,676655,521447,40997,66,268394,0,6.0,6584,2023,1,2023-01-01,85,0,1507559
337,2,5453,191759,96204,89345,1100,4830,14253.75,20175,2023,1,2023-01-01,248,2595,388691
338,3,4538,299084,74717,11672,2,49520,1293.5,35434,2023,1,2023-01-01,2606,9877,439533
339,4,55417,266336,91717,0,0,0,0.0,0,2023,1,2023-01-01,64,0,413470
340,5,2380167,31659,5747403,4544493,5066784,1198464,377596.0,315529,2023,1,2023-01-01,42445,66926,18968970
341,6,163563,137032,166825,115728,180514,68949,15875.25,33613,2023,1,2023-01-01,2194,2392,832611
342,7,71491,43279,884058,21952,634,875930,6126.0,286458,2023,1,2023-01-01,43635,58976,1897344
343,8,999877,414210,3571011,2789630,1766382,796862,270814.0,163275,2023,1,2023-01-01,29081,69488,10337972
344,9,1503473,334672,595059,407988,1140,73514,40514.0,2776,2023,1,2023-01-01,3117,2618,2915846
345,10,2335996,870622,81870,42249,303201,0,3059.75,7108,2023,1,2023-01-01,159,11,3633938
346,11,672781,637990,85980,81295,884,12408,5675.0,0,2023,1,2023-01-01,119,83,1491338
347,12,51759,1400,39348,5644,0,38958,476.5,137769,2023,1,2023-01-01,3143,32735,137109
348,13,458282,249197,121828,54410,19808,1008,5621.0,749,2023,1,2023-01-01,80,22,904533
349,14,92447,1378370,109165,60316,688404,0,4843.0,0,2023,1,2023-01-01,90,0,2328702
350,15,2131411,556185,99250,41907,136555,49752,5795.25,4375,2023,1,2023-01-01,2636,3373,3015060
351,16,642064,31252,1315435,932351,907028,393153,85535.0,313269,2023,1,2023-01-01,28445,69442,4221283
352,17,2010,160617,45992,17557,2010,32280,1714.0,37901,2023,1,2023-01-01,2136,5836,260466
353,18,0,116767,100301,45507,408,0,4228.75,0,2023,1,2023-01-01,37,5,262983
354,19,3749,1499,32114,3353,0,32114,459.0,36897,2023,1,2023-01-01,2208,8296,72829
355,20,85635,26234,44747,202,3062,32687,30.0,5261,2023,1,2023-01-01,1112,2245,192567
356,21,0,60947,185119,0,0,43741,0.0,0,2023,1,2023-01-01,274,18248,289807
357,22,345086,29549,618428,298797,55859,333371,40208.0,554520,2023,1,2023-01-01,25685,125505,1681090
358,23,13725,336932,194965,26379,5689,172864,1987.5,8014,2023,1,2023-01-01,3967,37162,750554
359,24,32286,158632,111476,79337,0,14801,10884.5,0,2023,1,2023-01-01,743,258,396532
360,25,1526568,1063474,126689,28004,166923,33461,3215.0,0,2023,1,2023-01-01,196,23693,2945119
361,26,513026,189304,5177738,4023882,2225165,1002693,363015.0,51663,2023,1,2023-01-01,35143,62116,13131808
362,27,2993,30628,310163,186430,23257,94579,18873.0,6442,2023,1,2023-01-01,1085,46861,648050
363,28,15946,35816,52710,19788,86,0,2326.0,0,2023,1,2023-01-01,28,10,124346
364,1,895370,546233,57323,0,315786,0,0.0,0,2023,2,2023-02-01,96,0,1814712
365,2,0,135408,96726,89628,0,51,13856.75,18333,2023,2,2023-02-01,57,2080,321813
366,3,3689,313763,97314,9285,13,56033,1335.0,22979,2023,2,2023-02-01,3068,7023,480097
367,4,72394,223174,83122,0,0,0,0.0,0,2023,2,2023-02-01,58,0,378690
368,5,1898017,35205,5293605,4055921,4717294,1227186,341186.0,237169,2023,2,2023-02-01,42097,49645,17227228
369,6,148050,162994,155381,108757,156309,63839,14367.75,20845,2023,2,2023-02-01,2020,3223,795330
370,7,81764,41212,993895,23743,918,987844,6568.0,266579,2023,2,2023-02-01,48922,50242,2129376
371,8,1072742,369020,3354054,2522049,1434017,856022,243685.0,136253,2023,2,2023-02-01,29912,89431,9607904
372,9,1505199,278019,632124,444749,4190,76505,43415.25,2208,2023,2,2023-02-01,3262,3890,2940786
373,10,2109933,557476,68510,47032,11,0,3292.75,5382,2023,2,2023-02-01,146,0,2782962
374,11,732854,406445,88478,82007,1405,12932,5833.0,0,2023,2,2023-02-01,104,96,1324121
375,12,49966,1000,40670,4791,0,40410,414.0,101377,2023,2,2023-02-01,3104,22866,136837
376,13,477001,296746,112087,39908,23307,1813,2964.5,0,2023,2,2023-02-01,104,0,950862
377,14,94982,1402222,112971,55032,566478,0,3640.0,0,2023,2,2023-02-01,93,1,2231685
378,15,2211222,414719,90431,40789,174262,51550,5940.25,3892,2023,2,2023-02-01,2728,3270,2982973
379,16,561677,22533,1290617,937798,831393,344383,84350.0,310922,2023,2,2023-02-01,25553,63230,3988401
380,17,12900,71662,61834,23266,3709,38307,3155.25,30304,2023,2,2023-02-01,2264,7322,211678
381,18,0,51001,79963,37553,0,0,3411.5,0,2023,2,2023-02-01,27,3,168517
382,19,5796,0,35366,3677,0,35366,478.0,24199,2023,2,2023-02-01,2426,5215,80205
383,20,138237,23885,40456,609,24084,37064,114.0,2358,2023,2,2023-02-01,1469,509,264335
384,21,0,65312,195438,0,4284,55951,0.0,1,2023,2,2023-02-01,387,22488,320985
385,22,339305,10829,678477,385133,131645,304755,48982.0,590459,2023,2,2023-02-01,23602,131805,1850144
386,23,28078,258750,232718,30202,4180,194138,2534.25,7264,2023,2,2023-02-01,4717,50622,748066
387,24,35006,148593,129483,80729,0,14371,11552.0,860,2023,2,2023-02-01,776,312,408182
388,25,1781067,1049845,150302,29852,321422,24859,4025.75,12,2023,2,2023-02-01,357,14764,3357347
389,26,324101,115459,5249921,4026188,2219522,1090398,358916.0,45080,2023,2,2023-02-01,36919,61542,13025589
390,27,5744,27030,319392,179660,13928,94966,15660.0,0,2023,2,2023-02-01,1097,45072,640720
391,28,35868,29220,64366,23144,158,0,2579.5,0,2023,2,2023-02-01,30,7,152756
392,1,591403,544458,80350,0,318609,0,0.0,10565,2023,3,2023-03-01,90,0,1534820
393,2,6504,276103,107639,96319,0,4804,14534.0,13212,2023,3,2023-03-01,274,1782,491369
394,3,0,368991,103864,15162,0,73554,1058.5,26930,2023,3,2023-03-01,3987,8497,561571
395,4,56189,244437,128771,0,0,0,0.0,0,2023,3,2023-03-01,70,0,429397
396,5,2321077,123376,6273324,4854027,5318723,1413888,400314.0,312991,2023,3,2023-03-01,49079,62105,20304415
397,6,140155,148365,189757,130404,150417,76923,17027.0,24850,2023,3,2023-03-01,2467,2560,836021
398,7,68656,23303,1271413,30084,1122,1264556,8332.0,383287,2023,3,2023-03-01,63524,78373,2659134
399,8,1166042,500734,3794743,2744971,1622089,1089060,259313.25,217051,2023,3,2023-03-01,39423,100329,10917639
400,9,1801755,378813,694522,426316,2212,81483,39909.0,3883,2023,3,2023-03-01,3384,9268,3385101
401,10,2611390,746119,117044,50454,77539,0,3377.25,4401,2023,3,2023-03-01,181,0,3602546
402,11,751441,656447,113933,100561,255,11239,6220.0,0,2023,3,2023-03-01,125,62,1633876
403,12,53938,0,50002,6430,0,49352,540.0,147013,2023,3,2023-03-01,3786,31315,159722
404,13,309451,330196,98565,43659,121342,745,3360.5,0,2023,3,2023-03-01,92,38,903958
405,14,95963,1536601,121932,54160,545969,0,3909.0,985,2023,3,2023-03-01,121,0,2354625
406,15,1243543,365072,111494,50618,120480,58117,6727.5,4616,2023,3,2023-03-01,3049,3604,1949324
407,16,823575,55844,1626453,1198891,1240434,426039,115966.0,334594,2023,3,2023-03-01,31505,103835,5371236
408,17,6000,108583,85489,23545,3846,62576,3312.25,48987,2023,3,2023-03-01,3531,12085,290039
409,18,0,53295,80222,37196,0,0,3278.75,0,2023,3,2023-03-01,36,11,170713
410,19,4509,0,42975,4013,0,42975,577.0,32700,2023,3,2023-03-01,2890,6768,94472
411,20,110008,29612,65165,878,12716,60955,156.0,3538,2023,3,2023-03-01,2365,811,279334
412,21,0,104616,254603,0,1029,58310,0.0,1,2023,3,2023-03-01,430,24345,418558
413,22,282523,42165,740762,363182,61860,397181,46194.0,604651,2023,3,2023-03-01,30424,137752,1887673
414,23,21717,369009,237938,31510,11045,218365,2798.25,11714,2023,3,2023-03-01,4804,58909,889584
415,24,32950,141744,146661,97995,0,15725,13746.75,2447,2023,3,2023-03-01,798,406,435075
416,25,1739101,902997,182974,45434,167990,36095,5784.5,0,2023,3,2023-03-01,209,24585,3074591
417,26,695112,259112,5752881,4418040,2366648,1169098,393989.0,58374,2023,3,2023-03-01,43044,72214,14660891
418,27,2976,23977,341795,206930,16159,103694,17799.0,7160,2023,3,2023-03-01,1115,51614,695531
419,28,6998,37609,72301,20479,0,0,2403.0,0,2023,3,2023-03-01,27,2,137387
420,1,548746,482784,56369,43,172519,0,3.0,27030,2023,4,2023-04-01,117,0,1260461
421,2,1,115313,95671,92491,3908,228,13645.25,23635,2023,4,2023-04-01,65,3237,307612
422,3,0,370541,78309,16167,28,48102,1896.0,26333,2023,4,2023-04-01,2693,8895,513147
423,4,45014,227675,71541,9,0,0,0.0,0,2023,4,2023-04-01,62,0,344239
424,5,2359748,36596,6183310,4951822,5660162,1221567,409848.0,327554,2023,4,2023-04-01,42884,65924,20413205
425,6,50715,139223,161301,113089,74211,62151,14077.5,65643,2023,4,2023-04-01,2111,2433,600690
426,7,93106,31421,1195478,27975,997,1182038,7800.0,722105,2023,4,2023-04-01,59811,122053,2531015
427,8,1368012,352117,3616568,2675071,1735138,966089,252903.0,400621,2023,4,2023-04-01,35018,103336,10712995
428,9,1697306,300970,774441,457699,9574,94966,42999.75,18704,2023,4,2023-04-01,3837,19788,3334956
429,10,2781828,623826,69921,47831,84,0,4076.5,17948,2023,4,2023-04-01,223,24,3523490
430,11,1068669,515772,119760,114425,1898,25047,9313.0,0,2023,4,2023-04-01,123,204,1845571
431,12,91102,1426,38098,4962,0,37837,402.0,148305,2023,4,2023-04-01,2945,34068,173425
432,13,447029,242034,115599,44732,70301,2088,3214.5,1533,2023,4,2023-04-01,97,66,921783
433,14,94652,2023648,168477,55035,987322,0,4450.0,2205,2023,4,2023-04-01,118,3,3329134
434,15,1799285,373846,110180,44552,129182,60657,6476.5,5511,2023,4,2023-04-01,3049,4779,2517702
435,16,628616,18454,1444956,1069177,1005142,372181,96418.0,304636,2023,4,2023-04-01,26945,123907,4538526
436,17,13937,140446,79133,32144,9086,52077,6160.75,62565,2023,4,2023-04-01,3179,8678,326823
437,18,0,75393,106228,36914,92,0,3164.75,0,2023,4,2023-04-01,48,3,218627
438,19,6318,1492,34252,3697,0,34252,505.0,28726,2023,4,2023-04-01,2263,6882,80011
439,20,108471,104321,48896,325,3058,46000,58.0,10384,2023,4,2023-04-01,1778,1480,311071
440,21,0,63794,209655,0,36,46039,0.0,562,2023,4,2023-04-01,291,20667,319524
441,22,338347,40309,618622,298440,45180,333173,39303.0,610686,2023,4,2023-04-01,25189,167478,1674071
442,23,18376,271879,266953,40363,3519,201480,3950.5,19753,2023,4,2023-04-01,5113,39907,802570
443,24,38685,129484,126591,75961,0,13251,10485.25,4105,2023,4,2023-04-01,729,633,383972
444,25,1703427,811294,135090,27666,112971,24684,3443.0,2708,2023,4,2023-04-01,205,18122,2815132
445,26,384057,113181,5844924,4648894,2713698,1038283,401270.0,114147,2023,4,2023-04-01,38695,68296,14743037
446,27,0,28945,383295,240469,39004,106952,19796.0,20740,2023,4,2023-04-01,973,56851,798665
447,28,22361,72899,62424,21351,0,0,2502.25,783,2023,4,2023-04-01,36,4,179035
448,1,513336,525673,57016,0,168728,0,0.0,40941,2023,5,2023-05-01,119,0,1264753
449,2,4012,128304,96773,88036,3912,242,14199.5,28730,2023,5,2023-05-01,76,2814,321279
450,3,0,256630,137426,17740,0,82356,1114.0,30908,2023,5,2023-05-01,4205,9983,494152
451,4,53259,279561,89738,0,0,0,0.0,0,2023,5,2023-05-01,77,0,422558
452,5,2001487,45574,6280361,4890511,5342726,1380785,405417.0,313584,2023,5,2023-05-01,49309,60989,19941444
453,6,26516,223792,196731,139754,71822,68926,18907.5,62165,2023,5,2023-05-01,2317,3570,727541
454,7,204976,47427,1396260,35455,1444,1384296,9188.0,936585,2023,5,2023-05-01,71858,114730,3069858
455,8,1184355,481826,4167091,3072908,2029746,1109217,301353.0,551681,2023,5,2023-05-01,41416,102810,12045143
456,9,1738297,376555,790460,490435,7324,90196,47546.75,34805,2023,5,2023-05-01,3833,26655,3493267
457,10,1961235,484774,77701,56430,55730,0,3812.0,19050,2023,5,2023-05-01,191,0,2635870
458,11,785023,663026,108813,106356,1941,16705,7431.0,0,2023,5,2023-05-01,121,43,1681864
459,12,5149,500,49246,6108,0,48791,516.0,136212,2023,5,2023-05-01,3781,31635,109794
460,13,264099,294206,84878,27822,63280,938,2093.75,865,2023,5,2023-05-01,92,0,735223
461,14,7816,1472164,121246,73267,750447,0,5144.0,4130,2023,5,2023-05-01,107,0,2424940
462,15,2318535,353941,103620,42969,266201,50645,6019.25,5247,2023,5,2023-05-01,2770,5078,3135911
463,16,605260,36644,1563260,1158175,1086896,391521,98966.0,142548,2023,5,2023-05-01,28551,80301,4841756
464,17,5706,81612,86719,27838,1060,60227,2906.25,82844,2023,5,2023-05-01,3580,8936,263162
465,18,0,37180,103517,54874,491,0,4606.0,0,2023,5,2023-05-01,46,0,196062
466,19,4667,5013,40110,4477,0,40110,615.0,26886,2023,5,2023-05-01,2884,6153,94377
467,20,104830,93708,56042,365,3050,52533,60.0,9853,2023,5,2023-05-01,2054,1560,310528
468,21,0,119979,235774,0,2454,71434,0.0,249,2023,5,2023-05-01,496,29574,429641
469,22,260770,16148,652128,306559,41517,363825,40850.0,433899,2023,5,2023-05-01,27746,149962,1640947
470,23,24971,338610,266635,48767,4571,220460,4714.5,26942,2023,5,2023-05-01,5625,60334,904014
471,24,61179,152907,137948,86797,0,15192,12265.5,2428,2023,5,2023-05-01,845,707,454023
472,25,1668950,615372,164211,28598,96492,35585,3466.25,17062,2023,5,2023-05-01,213,24453,2609208
473,26,410805,256861,6569611,5116458,2948795,1262429,453138.0,157163,2023,5,2023-05-01,47215,64460,16564959
474,27,6000,36533,416326,242622,23241,125660,19483.0,17751,2023,5,2023-05-01,1299,62234,850382
475,28,41647,23008,53774,17482,0,0,2131.5,52,2023,5,2023-05-01,33,1,135911
476,1,390658,334290,32487,0,21374,0,0.0,39963,2023,6,2023-06-01,90,0,778809
477,2,5017,163911,102693,79781,4363,567,12290.0,17380,2023,6,2023-06-01,82,3171,356332
478,3,0,401840,118834,16218,0,80623,1075.0,62496,2023,6,2023-06-01,4093,16116,617515
479,4,75208,229811,104200,0,0,0,0.0,0,2023,6,2023-06-01,69,0,409219
480,5,2097054,26186,5874249,4700541,5377750,1174509,399380.0,418043,2023,6,2023-06-01,42953,86230,19250289
481,6,103695,269247,185019,128144,150137,71412,17200.25,38418,2023,6,2023-06-01,2331,3364,907654
482,7,139613,35367,1375629,35653,2378,1346191,9263.0,1177109,2023,6,2023-06-01,70641,126578,2934831
483,8,884497,580465,3811604,2772243,1495934,1086129,281136.5,551006,2023,6,2023-06-01,40493,119670,10630872
484,9,1885238,382506,753552,465503,5021,91494,42177.5,33532,2023,6,2023-06-01,3955,16312,3583314
485,10,2082360,701833,74398,58048,496,0,4246.0,15520,2023,6,2023-06-01,201,0,2917135
486,11,712627,620519,111544,103025,920,12764,7591.75,0,2023,6,2023-06-01,122,64,1561399
487,12,57457,0,45154,5911,0,44959,492.0,171480,2023,6,2023-06-01,3457,39807,153481
488,13,362760,434602,87301,25502,107297,2390,2063.75,0,2023,6,2023-06-01,93,0,1019852
489,14,74648,1524721,137276,71946,725481,0,5234.0,4312,2023,6,2023-06-01,104,3,2534072
490,15,1722424,607621,136799,54426,202136,49667,7558.25,6184,2023,6,2023-06-01,2893,5120,2773073
491,16,458939,41430,1636140,1228354,1011921,401368,102839.0,158436,2023,6,2023-06-01,29386,90677,4778152
492,17,1500,88206,98279,36447,4853,62176,5949.0,50287,2023,6,2023-06-01,3592,10896,291461
493,18,0,128260,89046,43369,27,0,4007.5,0,2023,6,2023-06-01,34,11,260702
494,19,4263,0,37310,4355,0,37310,602.5,51019,2023,6,2023-06-01,2502,11723,83238
495,20,109136,122823,57614,266,3058,51544,42.0,13831,2023,6,2023-06-01,2027,3273,344441
496,21,0,113579,213533,0,0,62559,0.0,1,2023,6,2023-06-01,395,26537,389671
497,22,284461,61150,672114,310510,43816,373615,39348.0,450046,2023,6,2023-06-01,27625,150868,1745666
498,23,21697,297935,261934,46844,2800,207941,4706.25,28621,2023,6,2023-06-01,5607,48748,839151
499,24,15692,148856,145755,89438,0,15698,12421.5,1590,2023,6,2023-06-01,888,559,415439
500,25,1582849,888203,174860,30114,82718,29614,3885.0,13323,2023,6,2023-06-01,213,20799,2788358
501,26,330355,160713,5930842,4550349,2515947,1195956,402340.0,184014,2023,6,2023-06-01,44677,75741,14684162
502,27,0,27878,405506,231684,29207,118445,19325.0,24636,2023,6,2023-06-01,1165,60947,812720
503,28,16719,101000,46057,17406,0,0,2143.5,344,2023,6,2023-06-01,37,4,181182
504,1,676443,365304,43383,0,127423,0,0.0,26281,2023,7,2023-07-01,95,0,1212553
505,2,4025,163213,140825,106138,0,229,16505.75,55051,2023,7,2023-07-01,106,6760,414430
506,3,0,380247,107401,16473,0,71019,1079.0,207260,2023,7,2023-07-01,3843,48952,575140
507,4,38315,232068,89509,0,33000,0,0.0,0,2023,7,2023-07-01,68,0,392892
508,5,2202096,10020,5812016,4859784,5206927,950267,406823.0,950463,2023,7,2023-07-01,35498,213565,19041110
509,6,160208,103662,170607,117849,168021,66683,15407.25,66777,2023,7,2023-07-01,2296,3572,787030
510,7,211437,35243,1390579,35531,1177,1367581,9364.0,1479234,2023,7,2023-07-01,70950,179035,3041548
511,8,967000,317301,4009390,2939789,1739858,1119585,284595.75,742260,2023,7,2023-07-01,41215,154296,11092923
512,9,1888596,378039,797901,492119,338,100820,45195.25,26835,2023,7,2023-07-01,4405,22373,3657813
513,10,2155391,683602,92315,70012,237153,0,5301.0,13545,2023,7,2023-07-01,189,0,3238473
514,11,730904,526821,89920,82333,307,0,5729.25,0,2023,7,2023-07-01,110,8,1430285
515,12,62802,1100,45572,5637,0,45282,468.0,244097,2023,7,2023-07-01,3561,57756,160393
516,13,219413,302831,64008,16148,47054,1577,1303.0,947,2023,7,2023-07-01,73,0,651031
517,14,177988,1501060,125857,67721,571330,1856,5900.0,1056,2023,7,2023-07-01,98,0,2445812
518,15,2139612,352658,126174,55537,197393,51873,7885.0,8263,2023,7,2023-07-01,3070,5849,2923247
519,16,517032,19157,1707489,1294988,1148578,415338,104938.0,210718,2023,7,2023-07-01,29520,106269,5102582
520,17,14331,101496,82792,26565,546,53953,2442.0,102609,2023,7,2023-07-01,3311,16012,279683
