;Autoridad Portuaria;Enero_2023 t Graneles Líquidos;Enero_2024 t Graneles Líquidos;Enero_2023 t Graneles Sólidos;Enero_2024 t Graneles Sólidos;Enero_2023 t Mercancía General;Enero_2024 t Mercancía General;Enero_2023 t Mercancía General Contenedores;Enero_2024 t Mercancía General Contenedores;Enero_2023 t Pesca;Enero_2024 t Pesca;Enero_2023 t Avituallamiento;Enero_2024 t Avituallamiento;Enero_2023 t Avituallamiento De Combustibles Líquidos;Enero_2024 t Avituallamiento De Combustibles Líquidos;Enero_2023 t Tráfico Interior;Enero_2024 t Tráfico Interior;Enero_2023 t Mercancías En Tránsito;Enero_2024 t Mercancías En Tránsito;Enero_2023 t Mercancías En Tránsito En Contenedores;Enero_2024 t Mercancías En Tránsito En Contenedores;Enero_2023 t Tráfico Ro-Ro;Enero_2024 t Tráfico Ro-Ro;Enero_2023 UTIS Ro-Ro;Enero_2024 UTIS Ro-Ro;Enero_2023 TEUS Contenedores;Enero_2024 TEUS Contenedores;Enero_2023 TEUS Contenedores En Tránsito;Enero_2024 TEUS Contenedores En Tránsito;Enero_2023 TEUS Contenedores Entrada-Salida Nacional;Enero_2024 TEUS Contenedores Entrada-Salida Nacional;Enero_2023 TEUS Contenedores Entrada-Salida Exterior;Enero_2024 TEUS Contenedores Entrada-Salida Exterior;Enero_2023 Unidades Buques Mercantes;Enero_2024 Unidades Buques Mercantes;Enero_2023 G.T. Buques Mercantes;Enero_2024 G.T. Buques Mercantes;Enero_2023 Unidades Buques De Crucero;Enero_2024 Unidades Buques De Crucero;Enero_2023 Pasajeros En Régimen De Transporte Y De Crucero;Enero_2024 Pasajeros En Régimen De Transporte Y De Crucero;Enero_2023 Pasajeros En Régimen De Transporte;Enero_2024 Pasajeros En Régimen De Transporte;Enero_2023 Pasajeros De Crucero;Enero_2024 Pasajeros De Crucero;Enero_2023 Automóviles En Régimen De Pasaje;Enero_2024 Automóviles En Régimen De Pasaje;Enero_2023 Automóviles En Régimen De Mercancía;Enero_2024 Automóviles En Régimen De Mercancía;Febrero_2023 t Graneles Líquidos;Febrero_2024 t Graneles Líquidos;Febrero_2023 t Graneles Sólidos;Febrero_2024 t Graneles Sólidos;Febrero Mercancía General;Febrero_2024 t Mercancía General;Febrero_2023 t Mercancía General Contenedores;Febrero_2024 t Mercancía General Contenedores;Febrero_2023 t Pesca;Febrero_2024 t Pesca;Febrero_2023 t Avituallamiento;Febrero_2024 t Avituallamiento;Febrero_2023 t Avituallamiento De Combustibles Líquidos;Febrero_2024 t Avituallamiento De Combustibles Líquidos;Febrero_2023 t Tráfico Interior;Febrero_2024 t Tráfico Interior;Febrero_2023 t Mercancías En Tránsito;Febrero_2024 t Mercancías En Tránsito;Febrero_2023 t Mercancías En Tránsito En Contenedores;Febrero_2024 t Mercancías En Tránsito En Contenedores;Febrero_2023 t Tráfico Ro-Ro;Febrero_2024 t Tráfico Ro-Ro;Febrero Unidades de transporte intermodal Ro-Ro UTIS;Febrero_2024 UTIS Ro-Ro;Febrero_2023 TEUS Contenedores;Febrero_2024 TEUS Contenedores;Febrero_2023 TEUS Contenedores En Tránsito;Febrero_2024 TEUS Contenedores En Tránsito;Febrero_2023 TEUS Contenedores Entrada-Salida Nacional;Febrero_2024 TEUS Contenedores Entrada-Salida Nacional;Febrero_2023 TEUS Contenedores Entrada-Salida Exterior;Febrero_2024 TEUS Contenedores Entrada-Salida Exterior;Febrero_2023 Unidades Buques Mercantes;Febrero_2024 Unidades Buques Mercantes;Febrero_2023 G.T. Buques Mercantes;Febrero_2024 G.T. Buques Mercantes;Febrero_2023 Unidades Buques De Crucero;Febrero_2024 Unidades Buques De Crucero;Febrero_2023 Pasajeros En Régimen De Transporte Y De Crucero;Febrero_2024 Pasajeros En Régimen De Transporte Y De Crucero;Febrero_2023 Pasajeros En Régimen De Transporte;Febrero_2024 Pasajeros En Régimen De Transporte;Febrero_2023 Pasajeros De Crucero;Febrero_2024 Pasajeros De Crucero;Febrero_2023 Automóviles En Régimen De Pasaje;Febrero_2024 Automóviles En Régimen De Pasaje;Febrero_2023 Automóviles En Régimen De Mercancía;Febrero_2024 Automóviles En Régimen De Mercancía;Marzo_2023 t Graneles Líquidos;Marzo_2024 t Graneles Líquidos;Marzo Graneles Sólidos;Marzo_2024 t Graneles Sólidos;Marzo_2023 t Mercancía General;Marzo_2024 t Mercancía General;Marzo_2023 t Mercancía General Contenedores;Marzo_2024 t Mercancía General Contenedores;Marzo_2023 t Pesca;Marzo_2024 t Pesca;Marzo_2023 t Avituallamiento;Marzo_2024 t Avituallamiento;Marzo_2023 t Avituallamiento De Combustibles Líquidos;Marzo_2024 t Avituallamiento De Combustibles Líquidos;Marzo_2023 t Tráfico Interior;Marzo_2024 t Tráfico Interior;Marzo_2023 t Mercancías En Tránsito;Marzo_2024 t Mercancías En Tránsito;Marzo_2023 t Mercancías En Tránsito En Contenedores;Marzo_2024 t Mercancías En Tránsito En Contenedores;Marzo_2023 t Tráfico Ro-Ro;Marzo_2024 t Tráfico Ro-Ro;Marzo_2023 UTIS Ro-Ro;Marzo_2024 UTIS Ro-Ro;Marzo_2023 TEUS Contenedores;Marzo_2024 TEUS Contenedores;Marzo_2023 TEUS Contenedores En Tránsito;Marzo_2024 TEUS Contenedores En Tránsito;Marzo_2023 TEUS Contenedores Entrada-Salida Nacional;Marzo_2024 TEUS Contenedores Entrada-Salida Nacional;Marzo_2023 TEUS Contenedores Entrada-Salida Exterior;Marzo_2024 TEUS Contenedores Entrada-Salida Exterior;Marzo_2023 Unidades Buques Mercantes;Marzo_2024 Unidades Buques Mercantes;Marzo_2023 G.T. Buques Mercantes;Marzo_2024 G.T. Buques Mercantes;Marzo_2023 Unidades Buques De Crucero;Marzo_2024 Unidades Buques De Crucero;Marzo_2023 Pasajeros En Régimen De Transporte Y De Crucero;Marzo_2024 Pasajeros En Régimen De Transporte Y De Crucero;Marzo_2023 Pasajeros En Régimen De Transporte;Marzo_2024 Pasajeros En Régimen De Transporte;Marzo_2023 Pasajeros De Crucero;Marzo_2024 Pasajeros De Crucero;Marzo_2023 Automóviles En Régimen De Pasaje;Marzo_2024 Automóviles En Régimen De Pasaje;Marzo_2023 Automóviles En Régimen De Mercancía;Marzo_2024 Automóviles En Régimen De Mercancía;Abril_2023 t Graneles Líquidos;Abril_2024 t Graneles Líquidos;Abril_2023 t Graneles Sólidos;Abril_2024 t Graneles Sólidos;Abril_2023 t Mercancía General;Abril_2024 t Mercancía General;Abril_2023 t Mercancía General Contenedores;Abril_2024 t Mercancía General Contenedores;Abril_2023 t Pesca;Abril_2024 t Pesca;Abril_2023 t Avituallamiento;Abril_2024 t Avituallamiento;Abril_2023 t Avituallamiento De Combustibles Líquidos;Abril_2024 t Avituallamiento De Combustibles Líquidos;Abril_2023 t Tráfico Interior;Abril_2024 t Tráfico Interior;Abril_2023 t Mercancías En Tránsito;Abril_2024 t Mercancías En Tránsito;Abril_2023 t Mercancías En Tránsito En Contenedores;Abril_2024 t Mercancías En Tránsito En Contenedores;Abril_2023 t Tráfico Ro-Ro;Abril_2024 t Tráfico Ro-Ro;Abril_2023 UTIS Ro-Ro;Abril_2024 UTIS Ro-Ro;Abril_2023 TEUS Contenedores;Abril_2024 TEUS Contenedores;Abril_2023 TEUS Contenedores En Tránsito;Abril_2024 TEUS Contenedores En Tránsito;Abril_2023 TEUS Contenedores Entrada-Salida Nacional;Abril_2024 TEUS Contenedores Entrada-Salida Nacional;Abril_2023 TEUS Contenedores Entrada-Salida Exterior;Abril_2024 TEUS Contenedores Entrada-Salida Exterior;Abril_2023 Unidades Buques Mercantes;Abril_2024 Unidades Buques Mercantes;Abril_2023 G.T. Buques Mercantes;Abril_2024 G.T. Buques Mercantes;Abril_2023 Unidades Buques De Crucero;Abril_2024 Unidades Buques De Crucero;Abril_2023 Pasajeros En Régimen De Transporte Y De Crucero;Abril_2024 Pasajeros En Régimen De Transporte Y De Crucero;Abril_2023 Pasajeros En Régimen De Transporte;Abril_2024 Pasajeros En Régimen De Transporte;Abril_2023 Pasajeros De Crucero;Abril_2024 Pasajeros De Crucero;Abril_2023 Automóviles En Régimen De Pasaje;Abril_2024 Automóviles En Régimen De Pasaje;Abril_2023 Automóviles En Régimen De Mercancía;Abril_2024 Automóviles En Régimen De Mercancía
0;A Coruña;676655;719906;521447;406133;40997;29789;66;0;1202.998;1148.912;2027;2903;1488;2245;0;0;268394;41024;0;0;0;0;0;0;6.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;81;81;1458841;1556239;4;4;6584;9704;0;0;6584;9704;0;0;0;0;895370;747204;542383;288615;57323;14295;0;0;1385.374;1002.014;3713;2130;2599;1310;0;0;315786;7917;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96;70;1545849;1185147;0;2;0;3714;0;0;0;3714;0;0;0;0;591403;863302;544458;279003;80350;50451;0;0;2442.947;1445.893;7792;7032;3394;2081;0;0;318609;7920;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;86;98;1659967;1843269;4;5;10565;13679;0;0;10565;13679;0;0;0;0;548746;1021334;482784;439120;56369;77264;43;14;2122.334;1716.183;3001;2996;2239;2034;0;0;172519;98438;0;0;0;0;0;0;3.0;2.0;0.0;0.0;0.0;0.0;3.0;2.0;103;119;2292395;3316704;14;16;27030;47166;0;0;27030;47166;0;0;0;0
1;Alicante;5453;9007;191759;109123;96205;86149;89346;77281;0;0;1864;881;183;55;0;0;1100;297;1100;297;4830;6210;186;232;14253.75;10654.75;109.5;38.0;11790.5;8703.5;2353.75;1913.25;58;54;977692;548180;4;1;20175;8151;9362;5990;10813;2161;2517;1580;78;51;0;1848;135408;175579;96732;92710;89634;89152;0;0;1447;2312;186;102;0;0;0;580;0;580;51;907;0;0;13856.75;14240.75;0.0;56.0;11734.5;12023.5;2122.25;2161.25;53;55;816249;664578;4;0;18333;11828;8555;11828;9778;0;1938;4102;142;241;6504;9103;276103;220934;107639;110251;96319;105093;0;0;1509;1554;204;79;0;0;0;1901;0;1901;4804;406;214;5;14534.0;16216.5;0.0;203.0;13380.25;13920.5;1153.75;2093.0;57;67;745037;857634;3;2;13212;9669;7243;7215;5969;2454;1687;3133;95;243;1;2188;115313;193671;95672;87769;92492;84155;0;0;2751;1656;123;181;0;0;3908;1901;3908;1901;228;1604;0;0;13645.25;13062.75;437.5;203.0;11838.0;11700.25;1369.75;1159.5;56;70;1042086;2089152;9;17;23635;40447;11055;8181;12580;32266;3120;3197;117;228
2;Almería;4538;18511;299084;256126;74717;109347;11672;15607;186.172;228.505;5207;6088;2983;2622;0;0;2;0;2;0;49520;63344;2493;3102;1293.5;1116.75;1.0;0.0;746.0;457.75;546.5;659.0;112;134;1897714;2131887;0;0;35434;40825;35434;40825;0;0;9707;11445;170;239;3689;19338;313763;256103;97314;116222;9285;18881;145.575;174.661;5090;4973;2304;2186;0;0;13;0;13;0;56033;65593;2957;3579;1335.0;1055.0;2.0;0.0;996.0;233.0;337.0;822.0;111;125;1876793;1887440;0;0;22979;27115;22979;27115;0;0;6871;8314;152;230;0;7131;368991;193740;103864;96700;15162;17915;110.205;78.781;5894;4929;3797;2295;0;0;0;0;0;0;73554;66748;3859;3572;1058.5;1005.0;0.0;0.0;416.0;227.0;642.5;778.0;128;126;2148677;2142646;0;0;26930;26812;26930;26812;0;0;8321;8806;176;218;0;18288;370541;405453;78309;129640;16167;27257;211.811;396.2210000000001;4852;5869;2843;3234;0;0;28;0;28;0;48102;80829;2565;4190;1896.0;1690.5;14.0;0.0;1281.0;382.0;601.0;1308.5;124;140;2085732;2327011;4;3;26333;28669;25678;27573;655;1096;8721;8555;174;1142
3;Avilés;55417;61421;271758;234074;86295;84260;0;0;481.46;446.146;4439;2950;1841;1050;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64;56;489495;402073;0;0;0;0;0;0;0;0;0;0;0;0;72394;29158;223174;168150;83122;70654;0;0;634.812;505.321;3272;2441;1043;737;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58;54;448131;463485;0;0;0;0;0;0;0;0;0;0;0;0;56189;55801;244437;140166;128771;139425;0;0;1056.976;1300.444;5070;3727;1377;1609;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70;66;554362;521111;0;0;0;0;0;0;0;0;0;0;0;0;45014;74314;227675;249775;71541;102711;0;0;2012.55;1504.075;3245;3373;787;753;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62;70;482399;579821;0;0;0;0;0;0;0;0;0;0;0;0
4;Bahía de Algeciras;2380167;2793935;31659;42904;5747425;5498543;4544515;4436836;85.45000000000002;87.53699999999999;289720;347997;274832;330817;261841;325168;5067101;5388705;4047780;3990822;1198464;1053639;40107;43612;377600.0;372081.0;312435.0;314846.0;0.0;0.0;65165.0;57235.0;2341;2510;42389630;48344664;0;0;315529;362082;315529;362082;0;0;66691;81135;235;327;1898017;2444604;35205;23432;5293601;5828377;4055921;4746479;26.18;72.429;189284;293342;176700;279798;193570;303375;4802903;5304257;3572655;4221136;1227186;1091761;40301;46610;341186.0;403255.0;284207.0;333981.0;4.0;0.0;56975.0;69274.0;1795;2240;34052082;44702082;0;0;237169;290981;237169;290981;0;0;49402;62103;243;336;2321077;2356131;123376;260;6273346;5890166;4854049;4828568;38.752;40.26;349632;269694;335382;258620;352409;262428;5318723;5229906;4334056;4324863;1413888;1071582;46720;45797;400314.0;396089.0;336648.0;345468.0;4.0;14.0;63662.0;50607.0;2359;2177;45144327;41527204;0;0;312991;316724;312991;316724;0;0;61755;66886;350;340;2359749;2392855;36596;2314;6184103;6202074;4952620;5127554;43.229;108.71;308727;342479;295580;330301;286282;337641;5660961;5657520;4417931;4600562;1221567;1085163;40664;45875;409915.0;412658.0;345933.0;358038.0;0.0;0.0;63982.0;54620.0;2220;2405;41307060;46474631;0;0;327554;346545;327554;346545;0;0;65612;74171;312;385
5;Bahía de Cádiz;163563;18934;137032;206223;166825;173076;115728;119797;839.738;716.4230000000001;9651;7914;968;1949;0;0;180514;34356;19199;15766;68949;68593;2039;2237;15875.25;16251.75;1619.5;1569.0;12771.75;12192.75;1484.0;2490.0;142;135;2649740;2451804;13;12;33613;33168;1751;1817;31862;31351;1078;1102;1314;1224;148050;22127;162994;144490;155382;176729;108758;124104;703.2;727.987;6172;8974;2618;5546;0;0;156309;31009;15018;15873;63839;65099;1910;2112;14367.75;16321.25;1436.0;1286.25;10917.25;12885.5;2014.5;2149.5;95;93;2214488;1751712;14;5;20845;12721;1426;1510;19419;11211;846;917;2377;1759;140155;77604;148365;110024;189757;200326;130404;139493;1050.968;844.2389999999999;10305;7514;2609;1272;0;0;150417;95191;18815;17587;76923;71437;2328;2263;17027.0;19319.75;1638.25;1849.75;13047.5;14599.0;2341.25;2871.0;123;94;2591176;1808262;16;14;24850;21071;1292;1478;23558;19593;771;929;1789;1285;50715;42600;139223;152369;161301;195263;113089;138220;1011.52;1106.938;6157;7196;2888;1906;0;0;74211;65475;19012;22196;62151;69951;1931;2279;14077.5;18096.25;1638.25;1872.5;10507.0;13384.75;1932.25;2839.0;129;128;3921621;3987028;51;40;65643;64693;1690;2601;63953;62092;1044;1643;1389;9836
6;Baleares;71491;102646;43279;22156;884058;982074;21952;21043;60.77;79.737;2766;6597;138;155;36;105;634;704;0;0;875930;970723;41066;45154;6126.0;6047.0;0.0;0.0;6124.0;6047.0;2.0;0.0;2553;3052;17315621;17177306;16;15;286458;300476;229888;244370;56570;56106;53451;54605;5525;7841;81764;79818;41212;41626;993895;1105893;23743;25170;102.359;83.83300000000001;3295;6033;121;61;663;183;918;957;0;0;987844;1095902;46496;51089;6568.0;6709.0;0.0;0.0;6568.0;6709.0;0.0;0.0;2415;2698;15139445;15976850;11;11;266579;292439;220283;247122;46296;45317;43672;54264;6570;11032;68656;126825;23303;16916;1271413;1195038;30084;28429;112.903;142.471;5410;5877;127;217;488;251;1122;884;0;0;1264556;1183433;60671;54892;8332.0;6801.0;0.0;0.0;8332.0;6801.0;0.0;0.0;2836;3056;17401718;18816258;17;19;383131;432348;327390;368670;55741;63678;64703;85251;13670;12338;93106;111202;31421;35730;1195478;1340891;27975;25398;116.885;188.376;10956;10488;146;11;535;421;997;1300;2;0;1182038;1336651;56023;62871;7800.0;7000.0;2.0;0.0;7798.0;6998.0;0.0;2.0;3730;3712;20759717;22128121;58;71;722105;665225;586589;515411;135516;149814;111964;102757;10089;13369
7;Barcelona;989889;766073;413626;324206;3571017;3843295;2789637;3011767;44.076;150.208;118021;112974;103451;100189;0;0;1766323;1989352;1400632;1705002;796861;841346;28411;29940;270816.0;295527.75;116010.0;142352.0;64366.5;69397.25;90439.5;83778.5;644;642;24547383;25184951;26;24;163259;179890;70246;68854;93013;111036;21954;22448;47534;49721;1070862;1012582;369020;362565;3354053;4046216;2522048;3148202;106.389;95.307;106638;93635;92490;82509;0;0;1434073;2177589;1070085;1740316;856022;941276;29291;33374;243685.0;308120.5;91665.5;150334.0;67719.5;74314.0;84300.0;83472.5;601;601;22613490;22939488;20;14;135929;132848;56735;57909;79194;74939;17067;18146;72364;60872;1166042;1189649;499576;396163;3794903;4563660;2745140;3550731;169.035;211.547;116022;102324;97442;82699;0;0;1626892;2561161;1219856;1907463;1089051;1017725;38690;36306;259357.25;348007.0;94237.5;158349.5;80501.75;85211.0;84618.0;104438.5;701;698;26863389;26767254;32;27;216019;254704;96134;121203;119885;133501;23272;29316;77057;74032;1368012;1042996;352117;314063;3616465;4453149;2675116;3429166;108.168;235.408;147345;149131;122363;126503;0;0;1735684;2290086;1261030;1839056;965941;1015506;34219;37159;252905.0;338986.25;101291.5;170591.0;67899.5;82935.25;83714.0;85460.0;720;701;30541700;30767991;79;79;400530;395390;133110;117819;267420;277571;33502;30677;69834;61709
8;Bilbao;1503473;2134486;334672;280264;595059;569573;407988;400193;0;0;9409;9333;4986;4853;0;0;1140;4973;1140;4973;73514;46098;2922;1509;40514.0;36914.0;100.75;394.75;4155.25;1259.5;36258.0;35259.75;195;197;3554616;4149021;0;0;2776;13;2776;13;0;0;1088;0;1530;2377;1505199;1467586;278019;264448;632124;558084;444749;377957;0;0;9555;9196;5063;4873;0;0;4190;5253;4190;5253;76505;59553;3064;975;43415.25;33878.0;246.75;418.0;3868.5;1751.25;39300.0;31708.75;198;169;3632415;3142295;0;0;2208;36;2208;36;0;0;804;0;3086;1327;1801755;2114003;378813;292386;694522;777691;426316;456400;0;0;10954;12351;5696;6546;0;0;2212;2239;1791;2239;81483;88992;3156;2068;39909.0;42956.5;166.25;154.75;3993.0;1782.0;35749.75;41019.75;228;227;4271152;4423032;0;0;3883;0;3883;0;0;0;1662;0;7606;1719;1697306;1896200;300970;416388;774441;749547;457699;425341;0;0;11146;13330;5796;6932;0;0;9574;18228;9574;18228;94966;126292;3597;4687;42999.75;36287.0;513.75;1158.0;3016.25;1570.75;39469.75;33558.25;233;244;5272104;5608259;7;6;18704;31118;11409;11962;7295;19156;4966;5773;14822;27137
